paso,desempeno_acoplado,desempeno_acoplado_de,desempeno_desacoplado,desempeno_desacoplado_de
223,0.9929084818604145,0.005998896566837176,1.0,0.0
224,0.9940244000666777,0.006782499883035725,1.0,0.0
225,0.9899613127871151,0.007464572054019548,1.0,0.0
226,0.99327628041679,0.006325979108758862,1.0,0.0
227,0.992733071216522,0.00897123127126676,1.0,0.0
228,0.9913413463887798,0.01081776983634545,1.0,0.0
229,0.9934376778947244,0.0077230422333003645,1.0,0.0
230,0.9919945693023257,0.009287643862632403,1.0,0.0
231,0.993057821293299,0.01017565322181948,1.0,0.0
232,0.9951142432695858,0.006122962482650553,1.0,0.0
233,0.9939377281483192,0.009091100704978802,1.0,0.0
234,0.9935324123404695,0.0076168632530543845,1.0,0.0
235,0.991365938502022,0.010781131697643382,1.0,0.0
236,0.9949212697354168,0.0064769027940631005,1.0,0.0
237,0.9887818655723554,0.010224041575915105,1.0,0.0
238,0.9930286650639415,0.006946972171339252,1.0,0.0
239,0.9933071183485419,0.008173586403703923,1.0,0.0
240,0.9941211799900324,0.0075453417226224555,1.0,0.0
241,0.9925520008680463,0.009408455608043511,1.0,0.0
242,0.9916577241503131,0.007985133365088406,1.0,0.0
243,0.9911005347734755,0.010501779529111188,1.0,0.0
244,0.9942923729320787,0.008517442947685477,1.0,0.0
245,0.991267810634095,0.01067070297681722,1.0,0.0
246,0.9939332387210112,0.009866925124871861,1.0,0.0
247,0.9940592555493946,0.006608690615893825,1.0,0.0
248,0.991289661298482,0.008651254467543267,1.0,0.0
249,0.9937251757835351,0.008241671214375005,1.0,0.0
250,0.9902415819331855,0.013495107364862695,1.0,0.0
251,0.9937160882710142,0.006376471312243414,1.0,0.0
252,0.9952050778684924,0.006127496320883838,1.0,0.0
253,0.9919586108544234,0.009530019674112907,1.0,0.0
254,0.9929034436997771,0.006813610020295351,1.0,0.0
